model,case,trajectory_ok,elapsed_s,input_tokens,output_tokens,reasoning_tokens,llm_calls,cost_usd,est_cost_usd,tool_calls,answer,error
google/gemini-2.5-flash,filename-exact,True,2.09,6082,48,0,2,0.001304,0.001945,search_by_filename,"Yes, you do. The file ""KSI - KILIMANJARO (Official Video).mp3"" is in your collection.",
google/gemini-2.5-flash,filename-semantic,False,1.57,5945,38,0,2,0.001244,0.001878,search_collection,"I couldn't find ""Good Goodbye"" by Linkin Park in your collection. Did you mean something else?",
google/gemini-2.5-flash,filename-typo,False,2.62,8945,77,0,3,0.002242,0.002876,search_collection; search_collection,"I couldn't find a track called ""Bone Marrow"" by G-Eazy in your collection. I tried searching for variations of the artist and title, but nothing came up.",
google/gemini-2.5-flash,filename-artist-only,False,4.21,14972,101,0,5,0.004744,0.004744,search_collection; search_collection; search_collection; distinct_values,"I couldn't find any songs by ""Sik Kid"" in your collection. Did you mean something else? It's possible the artist is spelled differently. I searched for ""Sik Kid"", ""SikKid"", and used a flexible search to account for spacing differences, but found nothing.",
google/gemini-2.5-flash,count-drake,True,1.57,5933,18,0,2,0.001190,0.001825,count_items,You have 212 songs by Drake.,
google/gemini-2.5-flash,count-larry-june,True,1.43,5938,23,0,2,0.001839,0.001839,count_items,There are 244 songs by Larry June in your collection.,
google/gemini-2.5-flash,count-absent-artist,True,1.70,5934,31,0,2,0.001858,0.001858,count_items,I can't find any songs by Taylor Swift in your collection. Did you mean to spell something differently?,
google/gemini-2.5-flash,locate-file-present,True,2.63,9213,71,0,3,0.001665,0.002941,search_collection; locate_file,"The file for ""First Day Out"" by Tee Grizzley is located at `/Users/reme/Downloads/My Moment (2017)/Tee Grizzley - My Moment - 02 - First Day Out.flac`.",
google/gemini-2.5-flash,locate-drive-unmounted,True,2.47,9241,92,0,3,0.002363,0.003002,search_collection; locate_file,"The file for ""Off The Grid"" by Kanye West was located at `/Volumes/MUSIC/Music/Music/Kanye West/Donda (Deluxe)/1-05 Off The Grid.mp3`. However, the drive it lives on is not currently mounted, so the file cannot be accessed. Please reconnect the drive to use it.",
google/gemini-2.5-flash,locate-file-missing,True,2.77,9202,69,0,3,0.001657,0.002933,search_collection; locate_file,"The track ""Overlapped"" by Tee Grizzley is stored at `/Users/reme/Downloads/My Moment (2017)/Tee Grizzley - My Moment - 07 - Overlapped.flac`.",
google/gemini-2.5-flash,metadata-you-mad-bro,True,4.71,19545,273,0,5,0.003935,0.006546,search_collection; search_collection; search_collection; search_collection,"I found a track by Speaker Knockerz called ""U Mad Bro"". It seems I misremembered the title. Here is the metadata for ""U Mad Bro"":

| Field       | Value                                |
|-------------|--------------------------------------|
| Title       | U Mad Bro                            |
| Album       | Married to the Money II #MTTM2       |
| Artist      | Speaker Knockerz                     |
| Year        | 2014                                 |
| Month       | 9                                    |
| Day         | 2                                    |
| Genres      | Rap                                  |
| Beets ID    | 11777                                |
| Imported    | 2026-07-04 11:53                     |
| Modified    | 2024-03-18 20:06                     |",
openai/gpt-oss-120b,filename-exact,True,4.19,6455,183,88,2,0.000270,0.000270,search_by_filename,"**Result:** Yes, the file **KSI - KILIMANJARO (Official Video).mp3** is present in your collection (beets ID 12049).",
openai/gpt-oss-120b,filename-semantic,False,13.21,30930,500,246,7,0.001229,0.001229,search_collection; search_collection; search_collection; search_collection; search_collection; distinct_values,,
openai/gpt-oss-120b,filename-typo,False,3.06,6269,140,73,2,0.000256,0.000256,search_collection,,
openai/gpt-oss-120b,filename-artist-only,False,2.84,6303,140,88,2,0.000257,0.000257,search_collection,"{""result"": []}",
openai/gpt-oss-120b,count-drake,True,1.94,6240,71,22,2,0.000243,0.000243,count_items,**Drake tracks in your library:** **212**.,
openai/gpt-oss-120b,count-larry-june,True,2.55,6291,116,80,2,0.000252,0.000252,count_items,**Larry June tracks in your collection:** 244 🎧,
openai/gpt-oss-120b,count-absent-artist,True,2.11,6262,92,47,2,0.000247,0.000247,count_items,You have **0** Taylor Swift songs in your collection.,
openai/gpt-oss-120b,locate-file-present,True,6.38,9964,342,162,3,0.000427,0.000427,search_collection; locate_file,"**File location for “First Day Out” by Tee Grizzley**

| Title | Artist | Album | Year | File Path |
|-------|--------|-------|------|-----------|
| First Day Out | Tee Grizzley | My Moment | 2017 | `/Users/reme/Downloads/My Moment (2017)/Tee Grizzley - My Moment - 02 - First Day Out.flac` |

The track is stored as a FLAC file in the *My Moment (2017)* folder.",
